tmlprm,tmlversi,tmldata,tmlnobuk,tmlkode1,tmlkode2,tmlkode3,tmlkode4,tmlket1,tmlket2,tmlket3,tmlket4,tmlkode5,tmlkode6,tmlyt,tmlcrtusr,tmlscr,tmltotal1,tmltotal2,tmltotal3,tmltotal4,tmltotal5
1312,5,DTTMPLAP,RUGILABA,BLN,411.00.1101,,A3001,,TDK KONTRIBUS,,LABA,,,Y,,,0.0,0.0,0.0,0.0,0.0
1314,1,DTTMPLAP,RUGILABA,BLN,411.00.1102,,C0001,,TDK KONTRIBUS,,NPL,,,Y,,,0.0,0.0,0.0,0.0,0.0
1316,2,DTTMPLAP,RUGILABA,BLN,411.00.1103,,A3001,,,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1318,2,DTTMPLAP,RUGILABA,BLN,411.00.1201,,A3001,,TDK KONTRIBUS,,LABA,,,Y,,,0.0,0.0,0.0,0.0,0.0
1320,6,DTTMPLAP,RUGILABA,BLN,411.00.1301,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1322,1,DTTMPLAP,RUGILABA,BLN,411.00.1302,,C0001,,TDK KONTRIBUS,,NPL,,,Y,,,0.0,0.0,0.0,0.0,0.0
1324,1,DTTMPLAP,RUGILABA,BLN,411.00.1303,,C0001,,TDK KONTRIBUS,GAB_SISPOK,NPL,,,Y,,,0.0,0.0,0.0,0.0,0.0
1326,2,DTTMPLAP,RUGILABA,BLN,411.00.1401,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1328,1,DTTMPLAP,RUGILABA,BLN,411.00.1402,,C0001,,TDK KONTRIBUS,,NPL,,,Y,,,0.0,0.0,0.0,0.0,0.0
1330,1,DTTMPLAP,RUGILABA,BLN,411.00.1501,,A3001,,TDK KONTRIBUS,,LABA,,,Y,,,0.0,0.0,0.0,0.0,0.0
1332,1,DTTMPLAP,RUGILABA,BLN,411.00.1502,,C0001,,TDK KONTRIBUS,,NPL,,,Y,,,0.0,0.0,0.0,0.0,0.0
1334,3,DTTMPLAP,RUGILABA,BLN,411.00.1601,TDK,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1336,2,DTTMPLAP,RUGILABA,BLN,411.00.2001,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1338,2,DTTMPLAP,RUGILABA,BLN,411.00.2002,,D0001,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1340,2,DTTMPLAP,RUGILABA,BLN,411.00.2003,,D0001,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1342,2,DTTMPLAP,RUGILABA,BLN,411.00.2004,,D0001,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1344,2,DTTMPLAP,RUGILABA,BLN,411.00.2005,,D0003,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1346,4,DTTMPLAP,RUGILABA,BLN,411.00.2006,KOMISI,B0012,MKT,TDK KONTRIBUS,GAB_SISPOK,OPEX,,,,,,0.0,0.0,0.0,0.0,0.0
1348,2,DTTMPLAP,RUGILABA,BLN,411.00.2007,KOMISI,B0012,SVY,TDK KONTRIBUS,GAB_SISPOK,OPEX,,,,,,0.0,0.0,0.0,0.0,0.0
