Source.Name,Name,Mobile Number,Review Count,Rating,Catagory,Address,Website,Email Id,PlusCode,Closing Hours,latitude,latitude_1,Instagram Profile,Facebook Profile,Linkedin Profile,Twitter Profile,Images Folder,Kecamatan,Kelurahan
PAWN SHOP ACEH,Pegadaian Syariah. PT,81360337769.0,2 reviews,4.0,"Pawn shop in Lhokseumawe, Aceh","55G2+2HP, Jl. Perniagaan, Lhokseumawe, Kec. Banda Sakti, Kota Lhokseumawe, Aceh 24355",,,,Monday 8.00 am–4.00 am Tuesday 8.00 am–4.00 am Wednesday 8.00 am–4.00 am Thursday 8.00 am–4.00 am Friday 8.00 am–4.00 am Saturday 8.00 am–12.00 pm Sunday Closed,51752709.0,971515111.0,,,,,,Banda Sakti,Lhokseumawe
PAWN SHOP ACEH,Pegadaian UPS Beurawe,,1 review,5.0,Pawn shop in Banda Aceh,"H85J+C54, Jl. Tengku Hasan Dek, Beurawe, Kec. Kuta Alam, Kota Banda Aceh, Aceh 23127",,,,,55585457.0,9533045040000000.0,,,,,,Kuta Alam,Beurawe
PAWN SHOP ACEH,Pegadaian UPS Peureulak,64631211.0,3 reviews,4.7,Pawn shop in Aceh,"Jl. Medan Banda Aceh, Lhok Dalam, Kec. Peureulak, Kabupaten Aceh Timur, Aceh 24453",,,,Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed,48037139.0,978912118.0,https://www.instagram.com/pegadaian_id/,https://www.facebook.com/PegadaianPersero,,,,Peureulak,Lhok Dalam
PAWN SHOP ACEH,Pengadaian Syariah Darussalam,,3 reviews,3.7,Pawn shop in Banda Aceh,"H9F7+849, Rukoh, Syiah Kuala, Banda Aceh City, Aceh",,,,,5573294700000001.0,9536286800000000.0,,,,,,Syiah Kuala,Rukoh
PAWN SHOP ACEH,Pegadaian UPS Lampeunurut,85269051313.0,2 reviews,3.0,Pawn shop in Aceh,"Jl. Soekarno - Hatta No.3, Desa Lampeuneurut, Daru Imarah, Blang Mancung Bawah, Ketol, Aceh Besar, Aceh 23249",,,,Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed,4695135.0,967493993.0,https://www.instagram.com/pegadaian_id/,https://www.facebook.com/PegadaianPersero,,,,Ketol,Lampeuneurut
PAWN SHOP ACEH,Pegadaian UPS Cunda,64542438.0,,,,"Jl. Merdeka Barat No.70, Keudeu Cunda, Mon Geudong, Banda Sakti, Lhokseumawe City, Aceh 24352",,,,Monday Open 24 hours Tuesday Open 24 hours Wednesday Open 24 hours Thursday Open 24 hours Friday Open 24 hours Saturday Open 24 hours Sunday Open 24 hours,51792479.0,9713261350000000.0,,,,,,Banda Sakti,Mon Geudong
PAWN SHOP ACEH,Pegadaian Syariah,65128442.0,5 reviews,1.8,Pawn shop in Banda Aceh,"Jalan Tengku Imum Leung Bata No.75C, Lamseupeung, Kec. Lueng Bata, Kota Banda Aceh, Aceh 23123",,,,Monday Open 24 hours Tuesday Open 24 hours Wednesday Open 24 hours Thursday Open 24 hours Friday Open 24 hours Saturday Open 24 hours Sunday Open 24 hours,55358035.0,953304328.0,https://www.instagram.com/pegadaian_id/,https://www.facebook.com/PegadaianPersero,,,,Lueng Bata,Lamseupeung
PAWN SHOP ACEH,Pegadaian Blang Pidie,65991516.0,6 reviews,5.0,"Pawn shop in Blangpidie, Aceh","Jl. Ramli Sarady No.-, Blangpidie, Hutan Blangpidie, Blang Pidie, Southwest Aceh Regency, Aceh 23764",,,,Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed,3.7377576e+16,96836829.0,https://www.instagram.com/pegadaian_id/,https://www.facebook.com/PegadaianPersero,,,,Blang Pidie,Hutan Blangpidie
PAWN SHOP ACEH,Pegadaian UPS Pusat Kota,8520269864.0,,,,"Jl. Gudang Losd G No.62 Blok C, Kemuning Hulu, Lhokseumawe, East Aceh Regency, Aceh 24314",,,,Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed,44252015.0,978694391.0,https://www.instagram.com/pegadaian_id/,https://www.facebook.com/PegadaianPersero,,,,Lhokseumawe,Kemuning Hulu
PAWN SHOP ACEH,Pegadaian UPS Karang Baru,81362183369.0,2 reviews,3.0,Pawn shop in Aceh,"Jl. Medan - B Aceh, Karang Baru, Aceh Tamiang Regency, Aceh 24476",,,,Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed,434444.0,980356087.0,https://www.instagram.com/pegadaian_id/,https://www.facebook.com/PegadaianPersero,,,,Karang Baru,Jl. Medan - B Aceh
